"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ASRVP","AmeriServ Financial Inc.","24.98","12015380","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asrvp",
"ASCA","Ameristar Casinos, Inc.","19.78","645480740","n/a","1993","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/asca",
"AMTC","Ameritrans Capital Corporation","0.28","950880","n/a","1989","n/a","n/a","http://www.nasdaq.com/symbol/amtc",
"AMTCP","Ameritrans Capital Corporation","3.2501","975030","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amtcp",
"ANSS","ANSYS Inc.","60.81","5617627800","n/a","1996","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/anss",
"ANTH","Anthera Pharmaceuticals, Inc.","6.96","284719680","n/a","2010","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/anth",
"ARIA","ARIAD Pharmaceuticals, Inc.","14.25","2245785750","n/a","1994","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/aria",
"ARBA","Ariba Inc.","28.83","2875215900","n/a","1999","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/arba",
"ARTC","ArthroCare Corporation","30.44","837495720","n/a","1996","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/artc",
"ASTC","Astrotech Corporation","0.6","11620200","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/astc",
"ASUR","Asure Software Inc","6.74","20792900","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/asur",
"ATAI","ATA Inc.","6.21","141991650","n/a","2008","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/atai",
"ATHN","athenahealth, Inc.","57.01","2014049280","n/a","1991","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/athn",
"AFCB","Athens Bancshares Corporation","11.99","32660760","n/a","2010","Finance","Savings Institutions","http://www.nasdaq.com/symbol/afcb",
"ATHX","Athersys, Inc.","2.01","47243040","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/athx",
"AAME","Atlantic American Corporation","1.99","42337250","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aame",
"ACFC","Atlantic Coast Federal Corporation","2.31","6075300","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/acfc",
"ATNI","Atlantic Tele-Network, Inc.","36.49","562201430","n/a","1991","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/atni",
"AAWW","Atlas Air Worldwide Holdings","43.45","1142821900","n/a","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/aaww",
"ACLS","Axcelis Technologies, Inc.","1.78","189525500","n/a","2000","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/acls",
"BFIN","BankFinancial Corporation","5.51","116112230","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/bfin",
"CDNS","Cadence Design Systems, Inc.","10.62","2892187080","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cdns",
"CPHC","Canterbury Park Holding Corporation","12.75","52300500","n/a","n/a","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/cphc",
"CAZA","Cazador Acquisition Corporation Ltd.","9.79","56292500","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/caza",
"CAZAU","Cazador Acquisition Corporation Ltd.","9.96","45816000","n/a","2010","Finance","Business Services","http://www.nasdaq.com/symbol/cazau",
"CAZAW","Cazador Acquisition Corporation Ltd.","0.22","1834800","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/cazaw",
"CLNT","Cleantech Solutions International, Inc.","0.2799","5655659.4","n/a","1994","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/clnt",
"CLFD","Clearfield, Inc.","6.63","80461680","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/clfd",
"CKSW","ClickSoftware Technologies Ltd.","10.64","325945760","n/a","2000","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cksw",
"CSBK","Clifton Savings Bancorp, Inc.","10.08","263471040","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/csbk",
"CLVS","Clovis Oncology, Inc.","19.9","445282400","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/clvs",
"COKE","Coca-Cola Bottling Co. Consolidated","59","421319000","n/a","1972","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/coke",
"CDXS","Codexis, Inc.","5.32","191243360","n/a","2010","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/cdxs",
"CVLY","Codorus Valley Bancorp, Inc","9.94","41181420","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/cvly",
"CCOI","Cogent Communications Group, Inc.","15.3","701352000","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ccoi",
"CGNX","Cognex Corporation","40.96","1723392000","n/a","1989","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cgnx",
"CTSH","Cognizant Technology Solutions Corporation","70.17","21199549890","n/a","1998","Technology","EDP Services","http://www.nasdaq.com/symbol/ctsh",
"CMFB","COMMERCEFIRST BANCORP INC","13.5","24583500","n/a","1983","Finance","Major Banks","http://www.nasdaq.com/symbol/cmfb",
"ETFC","E*TRADE Financial Corporation","9.66","2755727520","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/etfc",
"ELNK","EarthLink, Inc.","6.97","743587480","n/a","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/elnk",
"EBAY","eBay Inc.","31.93","41219522620","n/a","1995","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ebay",
"EBIX","Ebix Inc","24.39","886235040","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/ebix",
"ELON","Echelon Corporation","5.4","229554000","n/a","1998","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/elon",
"SATS","EchoStar Corporation","24.2","940460400","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/sats",
"EFUT","eFuture Information Technology Inc.","4.8495","19286461.5","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/efut",
"EGAN","eGain Communications Corporation","6.05","147257000","n/a","1999","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/egan",
"EHTH","eHealth, Inc.","15.28","306272320","n/a","2006","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/ehth",
"LONG","eLong, Inc.","16.14","186248159.46","11539539","1987","Consumer Services","Transportation Services","http://www.nasdaq.com/symbol/long",
"ELTK","Eltek Ltd.","1.33","8791300","n/a","1997","Technology","Electrical Products","http://www.nasdaq.com/symbol/eltk",
"EMCI","EMC Insurance Group, Inc.","21.96","282647160","n/a","1982","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/emci",
"EMCF","Emclaire Financial Corp","15.5","27078500","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/emcf",
"EMKR","EMCORE Corporation","1.22","113435600","n/a","1997","Technology","Semiconductors","http://www.nasdaq.com/symbol/emkr",
"ELGX","Endologix  Inc","12.23","704961660","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/elgx",
"ENG","ENGlobal Corporation","2.17","57765400","n/a","1991","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/eng",
"ESGR","Enstar Group Limited","97.65","1339172100","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/esgr",
"ENTG","Entegris, Inc.","9.79","1322707320","n/a","2000","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/entg",
"ETRM","EnteroMedics Inc.","1.92","70560000","n/a","2007","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/etrm",
"EONC","eOn Communications Corporation","1.34","3845800","n/a","2000","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eonc",
"EOSPN","EOS Preferred Corporation","20","30000000","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/eospn",
"EPIQ","EPIQ Systems, Inc.","12.08","431413040","n/a","1997","Technology","EDP Services","http://www.nasdaq.com/symbol/epiq",
"PLUS","ePlus Inc.","30.43","245326660","n/a","1996","Technology","Retail: Computer Software & Peripheral Equipment","http://www.nasdaq.com/symbol/plus",
"EPOC","Epocrates, Inc.","9.99","241038720","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/epoc",
"EQIX","Equinix, Inc.","116.12","5505249200","n/a","2000","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eqix",
"ERT","eResearch Technology Inc.","5.49","270333090","n/a","n/a","Health Care","Precision Instruments","http://www.nasdaq.com/symbol/ert",
"ERIE","Erie Indemnity Company","75.73","3638523580","n/a","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/erie",
"ESBF","ESB Financial Corporation","14.24","212005120","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/esbf",
"ESCA","Escalade, Incorporated","4.4","56689600","n/a","n/a","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/esca",
"ESMC","Escalon Medical Corp.","1","7526000","n/a","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/esmc",
"EXAC","Exactech Inc.","16.18","212621380","n/a","1996","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/exac",
"EXPE","Expedia Inc.","31.04","3746931520","n/a","1999","Consumer Services","Transportation Services","http://www.nasdaq.com/symbol/expe",
"EXPD","Expeditors International of Washington, Inc.","44.41","9416252300","n/a","n/a","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/expd",
"EZCH","EZchip Semiconductor Limited","32.91","882810750","n/a","n/a","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/ezch",
"EZPW","EZCORP, Inc.","26.69","1264785720","n/a","1991","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/ezpw",
"FALC","FalconStor Software, Inc.","2.53","118611460","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/falc",
"FFCO","FedFirst Financial Corporation","13.75","41112500","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ffco",
"FLML","Flamel Technologies S.A.","5.52","132718960.8","24043290","1996","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/flml",
"FLXS","Flexsteel Industries, Inc.","14.31","96764220","n/a","n/a","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/flxs",
"FLEX","Flextronics International Ltd.","6.72","4792630080","n/a","1994","Technology","Electrical Products","http://www.nasdaq.com/symbol/flex",
"FLIR","FLIR Systems, Inc.","26.81","4182118710","n/a","1993","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/flir",
"FES","Forbes Energy Services Ltd","6.19","129482420","n/a","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/fes",
"ROCK","Gibraltar Industries, Inc.","15.36","467235840","n/a","1993","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/rock",
"GIGM","GigaMedia Limited","0.95","51697100","n/a","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/gigm",
"GIGA","Giga-tronics Incorporated","1.79","8992960","n/a","1983","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/giga",
"GIII","G-III Apparel Group, LTD.","24.62","489667180","n/a","1989","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/giii",
"GOOG","Google Inc.","585.99","150014025990","n/a","2004","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/goog",
"HSFT","HiSoft Technology International Limited","11.33","286798861.91","25313227","2010","Technology","EDP Services","http://www.nasdaq.com/symbol/hsft",
"HITK","Hi-Tech Pharmacal Co., Inc.","37.51","478740130","n/a","1992","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/hitk",
"HITT","Hittite Microwave Corporation","55.12","1727626160","n/a","2005","Technology","Semiconductors","http://www.nasdaq.com/symbol/hitt",
"HMNF","HMN Financial, Inc.","2.09","9170920","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/hmnf",
"IGTE","iGATE Corporation","16.57","938011130","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/igte",
"IGOI","iGo, Inc","0.85","28633100","n/a","n/a","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/igoi",
"INFY","Infosys Limited","52.29","4080202033.95","78030255","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/infy",
"IPAS","iPass Inc.","1.53","90222570","n/a","2003","Technology","EDP Services","http://www.nasdaq.com/symbol/ipas",
"IPCM","IPC The Hospitalist Company, Inc.","32.72","538047680","n/a","2008","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/ipcm",
"IPGP","IPG Photonics Corporation","53.13","2525853330","n/a","2006","Technology","Semiconductors","http://www.nasdaq.com/symbol/ipgp",
"IRBT","iRobot Corporation","32.28","872754360","n/a","2005","Consumer Durables","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/irbt",
"IRWD","Ironwood Pharmaceuticals, Inc.","13.08","783165000","n/a","2010","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/irwd",
"JCTCF","Jewett-Cameron Trading Company","8.25","15328500","n/a","n/a","Consumer Services","RETAIL: Building Materials","http://www.nasdaq.com/symbol/jctcf",
"LMAT","LeMaitre Vascular, Inc.","5.62","86592960","n/a","2006","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/lmat",
"LXRX","Lexicon Pharmaceuticals, Inc.","1.37","657834270","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/lxrx",
"LHCG","LHC Group","14.2","267073600","n/a","2005","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/lhcg",
"LOGI","Logitech International S.A.","8.05","1391941600","n/a","1997","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/logi",
"LSBI","LSB Financial Corp.","13.65","21212100","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/lsbi",
"MEDW","MEDIWARE Information Systems, Inc.","13.19","107498500","n/a","1991","Technology","EDP Services","http://www.nasdaq.com/symbol/medw",
"MEDH","MedQuist Holdings Inc.","10.15","570257450","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/medh",
"MTOX","Medtox Scientific, Inc.","16.6","148271200","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/mtox",
"MELA","MELA Sciences, Inc","4.4","111157200","n/a","2005","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/mela",
"MPEL","Melco Crown Entertainment Limited","11.18","2012111813.14","179974223","2006","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/mpel",
"MLNX","Mellanox Technologies, Ltd.","33.62","1323014240","n/a","2007","Technology","Semiconductors","http://www.nasdaq.com/symbol/mlnx",
"MEMP","Memorial Production Partners LP","17.46","280425060","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/memp",
"MEMS","MEMSIC, Inc.","3.175","76149200","n/a","2007","Technology","Semiconductors","http://www.nasdaq.com/symbol/mems",
"MENT","Mentor Graphics Corporation","13.45","1476621700","n/a","1984","Technology","EDP Services","http://www.nasdaq.com/symbol/ment",
"MTSL","MER Telemanagement Solutions Ltd.","1.75","7803250","n/a","1997","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/mtsl",
"MVIS","Microvision, Inc.","0.36","48891960","n/a","1993","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/mvis",
"MVISW","Microvision, Inc.","0.16","1072480","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/mvisw",
"MPB","Mid Penn Bancorp","7.25","25244500","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/mpb",
"MCEP","Mid-Con Energy Partners, LP","19.636","346379040","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mcep",
"MBRG","Middleburg Financial Corporation","14.9899","104884330.3","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/mbrg",
"MSEX","Middlesex Water Company","18.71","292530850","n/a","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/msex",
"MOFG","MidWestOne Financial Group, Inc.","15.75","135009000","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/mofg",
"SMCG","Millenium India Acquisition Company Inc.","0.8","6576000","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/smcg",
"NTAP","NetApp, Inc.","36.85","13576240150","n/a","1995","Technology","Electronic Components","http://www.nasdaq.com/symbol/ntap",
"NTES","Netease.com, Inc.","48.21","3616508536.14","75015734","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ntes",
"NFLX","Netflix, Inc.","100.24","5549386640","n/a","2002","Consumer Services","Consumer Electronics/Video Chains","http://www.nasdaq.com/symbol/nflx",
"NTGR","NETGEAR, Inc.","40.83","1533615630","n/a","2003","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/ntgr",
"NLST","Netlist, Inc.","2.98","75867820","n/a","2006","Technology","Semiconductors","http://www.nasdaq.com/symbol/nlst",
"NETL","NetLogic Microsystems, Inc.","49.76","3433738560","n/a","2004","Technology","Semiconductors","http://www.nasdaq.com/symbol/netl",
"NINE","Ninetowns Internet Technology Group Company Limited","1.31","40581578.24","30978304","1995","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/nine",
"NVDA","NVIDIA Corporation","14.22","8683485660","n/a","1999","Technology","Semiconductors","http://www.nasdaq.com/symbol/nvda",
"NXPI","NXP Semiconductors N.V.","20.555","5174762360","n/a","2010","Technology","Semiconductors","http://www.nasdaq.com/symbol/nxpi",
"OPWV","Openwave Systems Inc","2.04","174987120","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/opwv",
"ORBC","ORBCOMM Inc.","3.48","158928120","n/a","2006","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/orbc",
"ORLY","O'Reilly Automotive, Inc.","82.28","10558827840","n/a","1993","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/orly",
"OXGN","OXiGENE Inc.","1.05","15624000","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/oxgn",
"PCLN","priceline.com Incorporated","518.58","25816468140","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/pcln",
"PSMT","PriceSmart, Inc.","67.24","2010476000","n/a","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/psmt",
"RDCM","Radcom Ltd.","4.37","27850010","n/a","1997","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/rdcm",
"RVBD","Riverbed Technology, Inc.","28.63","4438193970","n/a","2006","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/rvbd",
"SAPE","Sapient Corporation","13.46","1881586860","n/a","1996","Technology","EDP Services","http://www.nasdaq.com/symbol/sape",
"SATC","SatCon Technology Corporation","0.52","62279880","n/a","1992","Technology","Semiconductors","http://www.nasdaq.com/symbol/satc",
"SVNT","Savient Pharmaceuticals Inc","2.42","172959820","n/a","n/a","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/svnt",
"SBAC","SBA Communications Corporation","44.97","4917874230","n/a","1999","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/sbac",
"SCSC","ScanSource Inc.","37.74","1026075120","n/a","n/a","Technology","Retail: Computer Software & Peripheral Equipment","http://www.nasdaq.com/symbol/scsc",
"STX","Seagate Technology.","20.02","9306196900","n/a","1988","Technology","Electronic Components","http://www.nasdaq.com/symbol/stx",
"SGMA","SigmaTron International, Inc.","3.96","15321240","n/a","1972","Technology","Electrical Products","http://www.nasdaq.com/symbol/sgma",
"SZYM","Solazyme, Inc.","11.19","668367510","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/szym",
"SLTM","Solta Medical, Inc","2.52","153311760","n/a","1983","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/sltm",
"SBUX","Starbucks Corporation","48.15","35891010000","n/a","1992","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/sbux",
"SYMC","Symantec Corporation","16.79","12376966770","n/a","1989","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/symc",
"SYMM","Symmetricom, Inc.","6.06","258937740","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/symm",
"TESS","TESSCO Technologies Incorporated","17.05","132478500","n/a","1994","Consumer Non-Durables","Electronic Components","http://www.nasdaq.com/symbol/tess",
"TSRA","Tessera Technologies, Inc.","18.65","961071800","n/a","2003","Technology","Semiconductors","http://www.nasdaq.com/symbol/tsra",
"THER","Theratechnologies Inc.","2.63","160014460","n/a","2001","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ther",
"THRX","Theravance, Inc.","18.15","1545073200","n/a","2004","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/thrx",
"KOOL","THERMOGENESIS Corp.","0.81","13260510","n/a","n/a","Capital Goods","Medical Specialities","http://www.nasdaq.com/symbol/kool",
"UTEK","Ultratech, Inc.","28.21","725194470","n/a","1993","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/utek",
"VGIT","Vanguard Intermediate -Term Government Bond ETF","65.361","6536100","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vgit",
"VCIT","Vanguard Intermediate-Term Corporate Bond ETF","82.81","41405000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vcit",
"VNQI","Vanguard International Equity Index Funds Vanguard Global ex-U.S. Real Estate ETF","44.2","4420000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vnqi",
"VCLT","Vanguard Long-Term Corporate Bond ETF","86.34","43170000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vclt",
"VGLT","Vanguard Long-Term Government Bond ETF","73.0799","7307990","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vglt",
"VOD","Vodafone Group Plc","27.76","25499325591.52","918563602","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/vod",
"VOLC","Volcano Corporation","27.43","1443558610","n/a","2006","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus",
