"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"JPM","JPMorgan Chase & Co","37.36","141959257760","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/jpm",
"LOR","Lazard World Dividend & Income Fund, Inc.","11.3","77744000","n/a","2005","n/a","n/a","http://www.nasdaq.com/symbol/lor",
"LZB","La-Z-Boy Incorporated","13.17","682943520","n/a","n/a","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/lzb",
"LEG","Leggett & Platt, Incorporated","23.18","3225079760","n/a","n/a","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/leg",
"JZT","Lehman ABS Corp","25.75","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/jzt",
"JBI","Lehman ABS Cp 7.857%","26.59","39140480","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/jbi",
"LPS","Lender Processing Services, Inc","15.02","1267402620","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/lps",
"LEN","Lennar Corporation","22.06","3434852300","n/a","1971","Basic Industries","Homebuilding","http://www.nasdaq.com/symbol/len",
"LEN/B","Lennar Corporation","17.9","560323700","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/len/b",
"LII","Lennox International, Inc.","37.1","1913061500","n/a","1987","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/lii",
"LAS","Lentuo International Inc.","3.131","20351500","n/a","1981","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/las",
"LUK","Leucadia National Corporation","27.39","6699128370","n/a","n/a","Basic Industries","Forest Products","http://www.nasdaq.com/symbol/luk",
"LVLT","Level 3 Communications, Inc.","18.28","3795823720","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/lvlt",
"LXP","Lexington Realty Trust","8.23","1270094750","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/lxp",
"LXP^B","Lexington Realty Trust","25.32","80011200","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/lxp^b",
"LXP^C","Lexington Realty Trust","42.85","111324300","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/lxp^c",
"MDR","McDermott International, Inc.","12.22","2872188800","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.c
"MER^D","Merrill Lynch & Co., Inc.","22.9","687000000","n/a","n/a","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/mer^d",
"CPP","Merrill Lynch Depositor, Inc.","23.98","0","n/a","1971","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/cpp",
"FJA","Merrill Lynch Depositor, Inc.","24.4273","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/fja",
"PIJ","Merrill Lynch Depositor, Inc.","25.3","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symboymbol/mei",
"MET","MetLife, Inc.","36.35","38444995900","n/a","2000","Finance","Life Insurance","http://www.nasdaq.com/symbol/met",
"MET^A","MetLife, Inc.","23.7","568800000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/met^a",
"MET^B","MetLife, Inc.","25.41","1524600000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/met^b",
"MLG","MetLife, Inc.","26.0001","208000800","n/a","1992","Finance","Life Insurance","http://www.nasdaq.com/symbol/mlg",
"MLU","MetLife, Inc.","69.77","2790800000","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/mlu",
"MPR","Met-Pro Corporation","10.11","148212600","n/a","n/a","Capital Goods","Pollution Control Equipment","http://www.n
"MS","Morgan Stanley","18.39","35444922780","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/ms",
"MMI","Motorola, Inc.","38.66","11579829800","n/a","1993","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/mmi",
"MSI","Motorola, Inc.","47.59","15492258240","n/a","1972","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/msi",
"MSCI","MSCI Inc","32.48","3916048640","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/msci",
"NC","NACCO Industries, Inc.","94.95","645754950","n/a","n/a","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/nc",
"NMR","Nomura Holdings Inc ADR","3.61","110173590","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/nmr",
"NUV","Nuveen Municipal Value Fund, Inc.","9.92","1949389120","n/a","1987","n/a","n/a","http://www.nasdaq.com/symbol/nuv",
"NUW","Nuveen Municipal Value Fund, Inc.","17.41","3453221270","n/a","2009","n/a","n/a","http://www.nasdaq.com/symbol/nuw",
