Week, infosys, infosys (std error)
Jun 3 2007, 1.00, 5%
Jun 10 2007, 1.02, 5%
Jun 17 2007, 1.04, 5%
Jun 24 2007, 1.30, 3%
Jul 1 2007, 1.24, 3%
Jul 8 2007, 1.44, 3%
Jul 15 2007, 1.22, 3%
Jul 22 2007, 1.22, 3%
Jul 29 2007, 1.10, 3%
Aug 5 2007, 1.06, 3%
Aug 12 2007, 0.98, 5%
Aug 19 2007, 1.00, 3%
Aug 26 2007, 0.90, 5%
Sep 2 2007, 0.90, 5%
Sep 9 2007, 0.84, 5%
Sep 16 2007, 0.90, 5%
Sep 23 2007, 0.94, 3%
Sep 30 2007, 0.88, 5%
Oct 7 2007, 1.24, 3%
Oct 14 2007, 0.92, 3%
Oct 21 2007, 0.92, 3%
Oct 28 2007, 0.90, 3%
Nov 4 2007, 0.76, 5%
Nov 11 2007, 0.90, 3%
Nov 18 2007, 1.48, 3%
Nov 25 2007, 1.46, 3%
Dec 2 2007, 1.44, 3%
Dec 9 2007, 0.92, 3%
Dec 16 2007, 0.84, 5%
Dec 23 2007, 0.84, 5%
Dec 30 2007, 0.88, 5%
Jan 6 2008, 1.12, 3%
Jan 13 2008, 1.08, 3%
Jan 20 2008, 1.04, 3%
Jan 27 2008, 1.08, 3%
Feb 3 2008, 1.12, 3%
Feb 10 2008, 0.94, 3%
Feb 17 2008, 0.94, 3%
Feb 24 2008, 0.90, 3%
Mar 2 2008, 0.80, 3%
Mar 9 2008, 0.86, 3%
Mar 16 2008, 0.82, 3%
Mar 23 2008, 1.00, 3%
Mar 30 2008, 0.88, 3%
Apr 6 2008, 0.84, 3%
Apr 13 2008, 1.08, 3%
Apr 20 2008, 0.92, 3%
Apr 27 2008, 0.80, 3%
May 4 2008, 0.80, 3%
May 11 2008, 0.84, 3%
May 18 2008, 0.86, 3%
May 25 2008, 0.92, 3%
Jun 1 2008, 0.94, 3%
Jun 8 2008, 0.90, 3%
Jun 15 2008, 1.02, 3%
Jun 22 2008, 1.08, 3%
Jun 29 2008, 0.96, 3%
Jul 6 2008, 1.06, 3%
Jul 13 2008, 1.06, 3%
Jul 20 2008, 0.94, 3%
Jul 27 2008, 0.88, 3%
Aug 3 2008, 0.88, 3%
Aug 10 2008, 0.80, 3%
Aug 17 2008, 0.84, 3%
Aug 24 2008, 1.16, 3%
Aug 31 2008, 0.86, 3%
Sep 7 2008, 0.90, 3%
Sep 14 2008, 1.88, 2%
Sep 21 2008, 1.04, 3%
Sep 28 2008, 0.86, 3%
Oct 5 2008, 0.94, 3%
Oct 12 2008, 0.96, 3%
Oct 19 2008, 0.80, 3%
Oct 26 2008, 0.60, 5%
Nov 2 2008, 0.70, 3%
Nov 9 2008, 0.78, 3%
Nov 16 2008, 0.98, 3%
Nov 23 2008, 0.70, 3%
Nov 30 2008, 0.66, 3%
Dec 7 2008, 0.68, 3%
Dec 14 2008, 0.70, 3%
Dec 21 2008, 0.68, 5%
Dec 28 2008, 0.66, 5%
Jan 4 2009, 0.92, 3%
Jan 11 2009, 1.14, 3%
Jan 18 2009, 0.78, 3%
Jan 25 2009, 0.78, 3%
Feb 1 2009, 0.78, 3%
Feb 8 2009, 0.76, 3%
Feb 15 2009, 0.80, 3%
Feb 22 2009, 0.72, 3%
Mar 1 2009, 0.74, 3%
Mar 8 2009, 0.66, 3%
Mar 15 2009, 0.74, 3%
Mar 22 2009, 0.70, 3%
Mar 29 2009, 0.66, 3%
Apr 5 2009, 0.84, 3%
Apr 12 2009, 1.32, 3%
Apr 19 2009, 0.78, 3%
Apr 26 2009, 0.62, 3%
May 3 2009, 0.68, 3%
May 10 2009, 0.64, 3%
May 17 2009, 0.88, 3%
May 24 2009, 0.68, 3%
May 31 2009, 0.64, 3%
Jun 7 2009, 0.70, 3%
Jun 14 2009, 0.70, 3%
Jun 21 2009, 0.78, 3%
Jun 28 2009, 0.80, 3%
Jul 5 2009, 0.98, 3%
Jul 12 2009, 0.92, 3%
Jul 19 2009, 0.86, 3%
Jul 26 2009, 0.86, 3%
Aug 2 2009, 0.84, 3%
Aug 9 2009, 0.86, 3%
Aug 16 2009, 0.88, 3%
Aug 23 2009, 0.90, 3%
Aug 30 2009, 0.82, 3%
Sep 6 2009, 0.84, 3%
Sep 13 2009, 1.06, 3%
Sep 20 2009, 0.86, 3%
Sep 27 2009, 0.72, 3%
Oct 4 2009, 1.02, 3%
Oct 11 2009, 0.88, 3%
Oct 18 2009, 0.84, 3%
Oct 25 2009, 0.90, 3%
